,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
10,10000000080.0,10000000080.0,10000000080.0,10000000080.0,67.622186102,10000000080.0,10000000067.6,77.6797009365,63.1896924612,62.1469912008,62.831702038,40.5186144782,53.5062567492,47.125341157,48.0307529159,42.7382587713,30.1094606655,44.3001369122,40.3947576367,33.4462965603,39.2799122226,47.6927192751,19.6414940262,11.3617495555,10.8609503653,27.8016313276,14.4811650636,52.5767827339,46.1388406996,22.5273465613,35.8317483405,35.0758529412,42.0639458113,63.3485733649,46.1388406996,63.3485733649,70.0253919286,70.0253919286,49.4075267359,51.068108207
11,10000000088.6,10000000088.6,10000000088.6,10000000088.6,76.1533923925,10000000088.6,10000000076.2,86.210907227,71.7208987518,70.6781974914,63.2103238846,49.0498207688,62.0374630398,55.6565474475,56.5619592065,51.2694650618,38.640666956,44.6787587589,40.7733794834,33.8249184069,39.6585340693,48.0713411217,20.0201158729,14.9930375049,15.1903733961,36.3328376181,23.7187630945,60.2082044805,45.5096325466,3.18650721535,16.4909089946,34.4466447883,41.4347376583,62.7193652119,45.5096325466,62.7193652119,69.3961837756,69.3961837756,30.0666873899,59.5993144975
12,10000000098.7,10000000098.7,10000000098.7,10000000098.7,86.2712869564,10000000098.7,10000000086.3,96.3288017909,81.8387933156,80.7960920552,73.3282184485,59.1677153326,72.1553576036,65.7744420114,66.6798537703,57.5274405582,48.7585615199,54.7966533228,50.8912740472,43.9428129708,49.7764286331,58.1892356856,30.1380104367,25.1109320688,25.30826796,39.8981473797,24.8581532006,61.3475945867,46.6490226528,13.3044017792,0.0,35.5860348944,42.5741277645,63.8587553181,46.6490226528,63.8587553181,70.5355738818,70.5355738818,35.6736226956,62.285664059
13,10000000056.8,10000000056.8,10000000056.8,10000000056.8,44.34259088,10000000056.8,10000000044.3,54.4001057146,39.9100972393,38.8673959789,88.3873133232,17.2390192563,23.8732554734,10.6322925776,9.7268808186,0.0,25.2202763194,69.8557481974,65.9503689219,59.0019078455,64.8355235078,73.2483305603,45.1971053114,36.9173608407,36.4165616504,18.5082533787,32.6692873576,39.9705007206,63.1239861732,48.0829578465,57.5274405582,52.0609984148,32.8234414698,54.1080690234,63.1239861732,54.1080690234,87.0105374022,87.0105374022,74.963138021,38.4618261938
14,10000000034.1,10000000034.1,10000000034.1,10000000034.1,21.6639484929,10000000034.1,10000000021.7,31.7214633274,17.2314548522,16.1887535918,99.1553113011,12.987642271,0.0,15.0517864137,14.1463746548,23.8732554734,49.0935317928,80.6237461754,76.7183668998,69.7699058234,75.6035214857,84.0163285382,55.9651032894,47.6853588186,47.1845596284,42.3815088521,54.3394632017,63.843756194,85.9971388377,58.8509558244,72.1553576036,74.9341510793,56.6966969432,77.9813244968,85.9971388377,77.9813244968,109.883690067,109.883690067,85.731135999,62.3350816671
15,10000000079.4,10000000079.4,10000000079.4,10000000079.4,66.9504148843,10000000079.4,10000000067.0,77.0079297188,62.5179212436,61.4752199831,54.0073463764,39.8468432606,52.8344855315,46.4535699393,47.3589816982,42.0664875536,29.4376894478,35.4757812507,31.5704019751,24.6219408987,30.455556561,38.8683636135,10.8171383646,5.79005999671,5.98739588792,27.1298601099,17.3440827209,51.9050115162,48.3395956242,6.01647029287,19.3208720721,37.2766078658,44.2647007359,65.5493282895,48.3395956242,65.5493282895,72.2261468531,72.2261468531,32.8966504675,50.3963369893
16,10000000076.1,10000000076.1,10000000076.1,10000000076.1,63.6484974353,10000000076.1,10000000063.6,73.7060122698,59.2160037946,58.1733025342,49.6227432185,36.5449258116,49.5325680826,43.1516524903,44.0570642493,38.7645701046,26.1357719988,31.0911780928,27.1857988173,20.2373377409,26.0709534032,34.4837604557,6.4325352068,1.84720926397,2.34800845418,23.8279426609,14.0421652719,48.6030940672,45.6998409079,11.2384163115,24.5428180907,34.6368531495,41.4560348164,62.74066237,45.6998409079,62.74066237,69.5863921369,69.5863921369,38.1185964861,47.0944195403
17,10000000079.6,10000000079.6,10000000079.6,10000000079.6,67.1875272055,10000000079.6,10000000067.2,77.2450420401,62.7550335648,61.7123323044,75.7585152174,40.0839555818,49.0935317928,35.852568897,34.947157138,25.2202763194,0.0,57.2269500917,53.3215708161,46.3731097397,52.206725402,60.6195324545,32.5683072056,24.2885627349,23.7877635447,18.1243916093,30.942667118,42.8995430156,62.600342754,35.4541597407,48.7585615199,51.5373549956,35.7524837648,57.0371113184,62.600342754,57.0371113184,86.486893983,86.486893983,62.3343399153,41.3908684887
18,10000000074.2,10000000074.2,10000000074.2,10000000074.2,61.8012881714,10000000074.2,10000000061.8,71.8588030059,57.3687945306,56.3260932702,51.4699524825,34.6977165476,47.6853588186,41.3044432264,42.2098549853,36.9173608407,24.2885627349,32.9383873568,29.0330080813,22.0845470048,27.9181626672,36.3309697196,8.27974447077,0.0,0.500799190209,21.9807333969,12.1949560079,46.7558848033,43.8526316439,11.8065302896,25.1109320688,32.7896438856,39.6088255524,60.893453106,43.8526316439,60.893453106,67.7391828729,67.7391828729,38.6867104642,45.2472102764
19,10000000085.9,10000000085.9,10000000085.9,10000000085.9,73.4557134729,10000000085.9,10000000073.5,83.5132283075,69.0232198322,67.9805185718,40.7689773544,46.3521418492,59.3397841202,52.9588685279,53.8642802869,48.5717861422,35.9429880365,22.2374122287,18.3320329531,11.3835718767,17.217187539,25.6299945915,3.37468083082,11.6544253016,12.1552244918,33.6351586985,23.8493813095,58.4103101049,55.5070569455,20.2082894883,33.5126912676,44.4440691872,51.263250854,72.5478784076,55.5070569455,72.5478784076,79.3936081745,79.3936081745,47.0884696629,56.901635578
