,ID,IsCentroid,Line_Geome,TC_iri_med,VPROMMS_ID,geometry,iri_max,iri_mean,iri_med,iri_min,iri_stdev,length,osmid,speed_mean,speed_med,total_cost,End_pos,Start_pos,TNODE_,FNODE_
27,29,0,"LINESTRING (105.5474461348615 20.00670463805945, 105.547454147483 20.00669495616619, 105.5475438526777 20.00660646364422, 105.5475939654721 20.00656758149712, 105.5476477328876 20.00653562044123, 105.5476660468582 20.0065276270373, 105.5477026858732 20.0",10.61,212TH00024,"LINESTRING (105.5474461348615 20.00670463805945, 105.556282360014 20.00225345665674)",12.29,10.8533333333,10.61,9.66,1.33177825982,1.09157805082,10027,34.6166666667,33.86,3.44119980521,"(105.547446135, 20.0067046381)","(105.55628236, 20.0022534567)",23,241
28,41,0,"LINESTRING (105.5685219114351 20.00523546698645, 105.5685055551357 20.00522896845979, 105.568442067395 20.00521131182444, 105.5683975051482 20.0052042970843, 105.5683326248686 20.00518743063441, 105.5682932218249 20.00518222538026, 105.5682511509741 20.0",8.495,213YD00007,"LINESTRING (105.5685219114351 20.00523546698645, 105.556282360014 20.00225345665674)",9.68,8.46375,8.495,7.52,0.698630036981,1.33621799391,10028,28.98125,27.73,3.50590196152,"(105.568521911, 20.005235467)","(105.55628236, 20.0022534567)",32,241
29,42,0,"LINESTRING (105.5638466413039 19.98723914877502, 105.5638339498839 19.98725579184102, 105.5638302500747 19.98726154117813, 105.5637948351405 19.98730794481856, 105.5637916195153 19.98731298092818, 105.5637793399533 19.98732905798876, 105.5637522853435 19",9.43,212TH00024,"LINESTRING (105.5638466413039 19.98723914877502, 105.556282360014 20.00225345665674)",11.58,9.47166666667,9.43,7.67,1.2672713469,1.88334736224,10029,32.16,30.725,5.3816650876,"(105.563846641, 19.9872391488)","(105.55628236, 20.0022534567)",35,241
30,34,0,"LINESTRING (105.5489512112478 20.02632999310831, 105.5489512124376 20.0263300585278, 105.5489512265716 20.0263301099266, 105.5489512269516 20.02633013076703, 105.5489514587082 20.02633097359926, 105.5489561297284 20.02634222952125, 105.5489602247412 20.0",6.85040983607,213YD00005,"LINESTRING (105.5482571824201 20.02856116734694, 105.5489512112478 20.02632999310831)",,,,,,0.269853157154,10030,,,0.597077759092,"(105.548257182, 20.0285611673)","(105.548951211, 20.0263299931)",25,242
31,33,0,"LINESTRING (105.5482571824201 20.02856116734694, 105.5482536488709 20.0286109545024, 105.5482547285707 20.02868087009157, 105.5482633298711 20.02876088743032, 105.5482759538377 20.02882223763496, 105.5482912319196 20.02887162513948, 105.5483276869931 20.",6.85040983607,213YD00005,"LINESTRING (105.5482571824201 20.02856116734694, 105.5484118069716 20.02902956027938)",,,,,,0.056328213486,10031,,,0.124631943671,"(105.548257182, 20.0285611673)","(105.548411807, 20.0290295603)",25,27
32,36,0,"LINESTRING (105.5484118069716 20.02902956027938, 105.5485677348411 20.02902906596094, 105.548634155695 20.0290209020927, 105.5486945176927 20.02900570367718, 105.5486947717651 20.02900567244883, 105.5487453959849 20.02899292588711, 105.5487789615841 20.0",7.45,212TH00029,"LINESTRING (105.5484118069716 20.02902956027938, 105.5627927372737 20.02064945206644)",11.9,7.63846153846,7.45,4.97,1.80977367901,2.10348248279,10032,33.8569230769,34.24,4.96947736559,"(105.548411807, 20.0290295603)","(105.562792737, 20.0206494521)",27,245
33,43,0,"LINESTRING (105.5587959771228 20.01871482338929, 105.5587960584056 20.01871485169962, 105.5587960846842 20.01871486911362, 105.5587961025387 20.01871488884483, 105.5587962781646 20.01871522176125, 105.5588009575514 20.01872191011682, 105.5588102577501 20",6.85040983607,214YD00051,"LINESTRING (105.5587959771228 20.01871482338929, 105.5627927372737 20.02064945206644)",,,,,,0.492778279508,10033,,,1.09032243299,"(105.558795977, 20.0187148234)","(105.562792737, 20.0206494521)",38,245
34,49,0,"LINESTRING (105.5640718338777 20.01613032017848, 105.5640669901292 20.01618120591616, 105.5640444004971 20.01629716516908, 105.5640433285518 20.0163064493341, 105.5640327791334 20.01635134818977, 105.5640114543869 20.01640958073529, 105.5639828574752 20.",6.85040983607,212TH00029,"LINESTRING (105.5640718338777 20.01613032017848, 105.5627927372737 20.02064945206644)",,,,,,0.537239778969,10034,,,1.18869805603,"(105.564071834, 20.0161303202)","(105.562792737, 20.0206494521)",45,245
35,40,0,"LINESTRING (105.554364462838 20.07482908651489, 105.5543645721457 20.07482904540193, 105.5543646062198 20.0748290215945, 105.5543646260295 20.07482899858819, 105.5543648435588 20.07482856041483, 105.5543691917155 20.07482200752738, 105.5543783120757 20.0",2.99,214YD00044,"LINESTRING (105.5597590442673 20.07219036053315, 105.554364462838 20.07482908651489)",3.8,3.105,2.99,2.64,0.542371336509,0.659556387972,10035,26.2025,25.13,0.822796593995,"(105.559759044, 20.0721903605)","(105.554364463, 20.0748290865)",29,246
36,46,0,"LINESTRING (105.5597590442673 20.07219036053315, 105.5598100022941 20.07214748011076, 105.5598631045555 20.07211145820519, 105.5600070455403 20.07203568835295, 105.5600080707908 20.07203500108987, 105.5600210475547 20.07202830611402, 105.5600235864853 20",5.46,Input VPROMMS: 212TH00030 (50.0 pct); 214YD00044 (50.0 pct);,"LINESTRING (105.5597590442673 20.07219036053315, 105.5626694855515 20.07144354601598)",10.49,5.66,5.46,1.89,3.74405528805,0.319177329151,10036,30.51,31.89,0.595265718867,"(105.559759044, 20.0721903605)","(105.562669486, 20.071443546)",29,44
37,44,0,"LINESTRING (105.5595666702474 20.06825535707615, 105.5596321592243 20.06841223999197, 105.5596458860425 20.0684363131911, 105.5596576267178 20.06845204628735, 105.5596986564627 20.06849479291563, 105.559713432601 20.0685067693597, 105.559743612369 20.068",8.055,212TH00030,"LINESTRING (105.5595666702474 20.06825535707615, 105.5626694855515 20.07144354601598)",38.75,15.3525,8.055,6.55,15.6144641812,0.485694420479,10037,29.885,30.42,1.22091434948,"(105.55956667, 20.0682553571)","(105.562669486, 20.071443546)",39,44
38,37,1,"LINESTRING (105.5597590442673 20.07219036053315, 105.5597898854424 20.07229719426373, 105.5598009084803 20.07236148593466, 105.5598053848604 20.0724497384073, 105.5598105658576 20.07247907720874, 105.5598119406006 20.07250596548959, 105.5598203047516 20.",8.11,212TH00030,"LINESTRING (105.5597590442673 20.07219036053315, 105.5527539595112 20.09208571105408)",44.01,13.095,8.11,5.34,12.3655829748,2.38708725473,10038,30.4892857143,29.365,6.03336303633,"(105.559759044, 20.0721903605)","(105.55275396, 20.0920857111)",29,248
39,59,0,"LINESTRING (105.5685219114351 20.00523546698645, 105.568554773867 20.00552739454386, 105.5685550276684 20.00552844375077, 105.5685552583007 20.00553289091367, 105.5685540610407 20.0055492233629, 105.5685556849828 20.00558059779564, 105.5685535900155 20.0",4.25,214YD00023,"LINESTRING (105.5685219114351 20.00523546698645, 105.5688300721376 20.00993461914734)",5.26,4.368,4.25,3.54,0.621425779961,0.522623481804,10039,25.692,25.39,0.816599190319,"(105.568521911, 20.005235467)","(105.568830072, 20.0099346191)",32,61
40,62,0,"LINESTRING (105.5686970837469 20.01012023208358, 105.5687733830017 20.01000586728299, 105.5688300721376 20.00993461914734)",6.85040983607,212TH00029,"LINESTRING (105.5686970837469 20.01012023208358, 105.5688300721376 20.00993461914734)",,,,,,0.0248282024769,10040,,,0.0549349418533,"(105.568697084, 20.0101202321)","(105.568830072, 20.0099346191)",55,61
41,60,0,"LINESTRING (105.5685219114351 20.00523546698645, 105.5685672293852 20.00521126675808, 105.5686788875394 20.00516692938631, 105.5687297480922 20.00513899014336, 105.5687331385509 20.00513764332975, 105.5687862463153 20.00510845548561, 105.5687880253925 20",8.965,213YD00007,"LINESTRING (105.5685219114351 20.00523546698645, 105.5695442572712 20.00464302866772)",9.41,8.965,8.965,8.52,0.629325035256,0.125828559021,10041,25.045,25.045,0.344927537416,"(105.568521911, 20.005235467)","(105.569544257, 20.0046430287)",32,250
42,51,0,"LINESTRING (105.5700433181527 19.97721570908631, 105.5700391056342 19.97722560068165, 105.5700058794549 19.97728626697748, 105.5699679988304 19.97734050905561, 105.5699103837066 19.97740527988982, 105.5698667707873 19.97744350515057, 105.5698596739344 19",8.885,212TH00024,"LINESTRING (105.5638466413039 19.98723914877502, 105.5700433181527 19.97721570908631)",10.31,8.704,8.885,6.18,1.37382030201,1.32123981277,10042,32.128,32.695,3.5954238405,"(105.563846641, 19.9872391488)","(105.570043318, 19.9772157091)",35,50
43,66,1,"LINESTRING (105.569225721715 19.97643235742841, 105.5692511259328 19.97647176744915, 105.569317756445 19.97655377940602, 105.5693659425878 19.97660001784943, 105.5693715867304 19.97660422282969, 105.5694103296925 19.97664140063626, 105.5694173888119 19.9",6.85040983607,214YD00026,"LINESTRING (105.569225721715 19.97643235742841, 105.5700433181527 19.97721570908631)",,,,,,0.122908038336,10043,,,0.271946627855,"(105.569225722, 19.9764323574)","(105.570043318, 19.9772157091)",47,50
44,52,0,"LINESTRING (105.5638466413039 19.98723914877502, 105.5638909030375 19.98723836878588, 105.5639543532287 19.98723190779015, 105.5639633868047 19.98723013735219, 105.564020834923 19.98722067527068, 105.5640865325129 19.98720284909346, 105.5641504142687 19.",9.185,214YD00028,"LINESTRING (105.5638466413039 19.98723914877502, 105.5810751470455 19.97727926430416)",11.76,9.275,9.185,7.07,1.45684278805,2.14126312243,10044,25.1575,25.355,5.98750700609,"(105.563846641, 19.9872391488)","(105.581075147, 19.9772792643)",35,88
45,45,0,"LINESTRING (105.580881547925 20.0434843282227, 105.5809901011925 20.04362027191815, 105.5810469118662 20.04367673689409, 105.5810705555281 20.04369499700013, 105.5810937903014 20.04371807351458, 105.5811188252333 20.04373738890729, 105.5811408216114 20.0",10.33,Input VPROMMS: 212TH00030 (73.33 pct); transit ro (18.1 pct); transit 7_ (6.67 pct); 214YD00059 (1.9 pct);,"LINESTRING (105.5595666702474 20.06825535707615, 105.580881547925 20.0434843282227)",48.41,14.1891304348,10.33,6.9,11.5866545148,3.96396173725,10045,32.5313043478,35.4,12.2189120551,"(105.55956667, 20.0682553571)","(105.580881548, 20.0434843282)",39,41
46,98,0,"LINESTRING (105.580881547925 20.0434843282227, 105.5809035632252 20.04345331407214, 105.5809948337843 20.04329267740822, 105.5809992098614 20.0432867894497, 105.5810267608277 20.04323874122729, 105.581053640193 20.04320304210716, 105.5810625503698 20.043",11.57,212TH00030,"LINESTRING (105.580881547925 20.0434843282227, 105.5829332234809 20.02604917412997)",46.64,16.4244444444,11.57,6.8,11.9054017509,2.0847515263,10046,28.9727777778,29.275,7.07251955297,"(105.580881548, 20.0434843282)","(105.582933223, 20.0260491741)",41,97
47,100,0,"LINESTRING (105.5829332234809 20.02604917412997, 105.5828527605526 20.02589095888693, 105.5828313818745 20.02583175445005, 105.5828301974022 20.02582650748706, 105.5828107842036 20.02577274609515, 105.58280353792 20.02574064658432, 105.5828027019006 20.0",7.62,214YD00037,"LINESTRING (105.5833572790418 20.02339450504157, 105.5829332234809 20.02604917412997)",7.81,7.62,7.62,7.43,0.268700576851,0.304686710978,10047,29.285,29.285,0.732771539902,"(105.583357279, 20.023394505)","(105.582933223, 20.0260491741)",59,97
48,47,0,"LINESTRING (105.56103663067 20.01539104766655, 105.5610367475407 20.0153909488509, 105.5610379508474 20.01539036496997, 105.5610533666508 20.01538513508326, 105.5610569263563 20.01538438898731, 105.5610634617238 20.01538217711328, 105.5610844752811 20.01",7.35,214YD00049,"LINESTRING (105.56103663067 20.01539104766655, 105.5640718338777 20.01613032017848)",7.83,7.225,7.35,6.37,0.651690110405,0.329463316717,10048,22.555,22.695,0.770120502826,"(105.561036631, 20.0153910477)","(105.564071834, 20.0161303202)",43,45
49,48,0,"LINESTRING (105.5626694855515 20.07144354601598, 105.5627299577091 20.07146235341886, 105.5627968093781 20.0714764292607, 105.562847906682 20.07148181639662, 105.5628573667757 20.07148352397284, 105.5629172747253 20.07148766263691, 105.5629809163524 20.0",3.29,214YD00044,"LINESTRING (105.5626694855515 20.07144354601598, 105.5800992051747 20.06044857195995)",4.88,3.27636363636,3.29,1.61,1.12319430845,2.52176716247,10049,31.1863636364,32.46,3.33503707237,"(105.562669486, 20.071443546)","(105.580099205, 20.060448572)",44,261
50,54,0,"LINESTRING (105.5651265074083 20.06968899219897, 105.5651265121847 20.06968898680339, 105.5651265126881 20.06968898582345, 105.5651265242252 20.06968897279084, 105.5651265253166 20.0696889706663, 105.565132687657 20.0696820095838, 105.5651458877642 20.06",4.59,214YD00046,"LINESTRING (105.5651265074083 20.06968899219897, 105.5800992051747 20.06044857195995)",5.77,4.65,4.59,3.98,0.541582044672,1.89681560962,10050,25.654,24.89,3.12500371685,"(105.565126507, 20.0696889922)","(105.580099205, 20.060448572)",51,261
51,90,1,"LINESTRING (105.5773760140752 20.05554745672018, 105.5773814017705 20.05556349080292, 105.5773814739001 20.05556384731666, 105.5774001535934 20.05561943950092, 105.5774002434302 20.0556198831546, 105.5774200074142 20.05567870227003, 105.577420097251 20.0",2.44,214YD00044,"LINESTRING (105.5773760140752 20.05554745672018, 105.5800992051747 20.06044857195995)",3.96,2.9,2.44,2.3,0.920651942919,0.615969740508,10051,31.2333333333,31.34,0.683726411964,"(105.577376014, 20.0555474567)","(105.580099205, 20.060448572)",93,261
52,53,0,"LINESTRING (105.5640718338777 20.01613032017848, 105.5640873584901 20.01611932944768, 105.5640902125579 20.01611760909751, 105.5641957011846 20.0159804453187, 105.5642278337104 20.01592624153546, 105.5642527935095 20.01586894144, 105.5642532629438 20.015",5.82,212TH00029,"LINESTRING (105.5640718338777 20.01613032017848, 105.5686970837469 20.01012023208358)",6.85,5.82666666667,5.82,4.81,1.02001633974,0.854734557699,10052,36.0433333333,39.75,1.6710060603,"(105.564071834, 20.0161303202)","(105.568697084, 20.0101202321)",45,55
53,50,1,"LINESTRING (105.569225721715 19.97643235742841, 105.5692199473701 19.97643189916662, 105.5691007844173 19.97643099639966, 105.5690254173226 19.97642117778863, 105.5689977077705 19.97641401208364, 105.5689810035056 19.97641184474287, 105.5689446089845 19.",8.11,214YD00026,"LINESTRING (105.569225721715 19.97643235742841, 105.5636399337521 19.97550220315268)",9.19,8.185,8.11,6.99,0.907672848553,0.597667574382,10053,26.9916666667,27.08,1.51060479425,"(105.569225722, 19.9764323574)","(105.563639934, 19.9755022032)",47,264
54,55,1,"LINESTRING (105.569225721715 19.97643235742841, 105.5693437778739 19.97623706654157, 105.5693651471107 19.97619113594653, 105.5693706020248 19.97618446404336, 105.5693913515845 19.97616472375889, 105.5694072799741 19.97614524664073, 105.5694344173337 19.",10.405,214YD00025,"LINESTRING (105.569225721715 19.97643235742841, 105.5677625854078 19.96158969466276)",11.99,10.64,10.405,8.78,1.1034879765,1.77524025104,10054,21.50375,21.18,5.50546382854,"(105.569225722, 19.9764323574)","(105.567762585, 19.9615896947)",47,266
55,70,0,"LINESTRING (105.5700433181527 19.97721570908631, 105.5701010514312 19.97720457414277, 105.5701568183056 19.97718760733738, 105.5702034378469 19.97716748316951, 105.5702583761554 19.97713562905045, 105.5703082600274 19.97709781776534, 105.5703280079632 19",8.5,212TH00024,"LINESTRING (105.5700433181527 19.97721570908631, 105.576588684819 19.97097977852778)",11.48,8.87,8.5,7.27,1.44016864092,0.991236996503,10055,29.1875,26.97,2.60199711582,"(105.570043318, 19.9772157091)","(105.576588685, 19.9709797785)",50,267
56,87,0,"LINESTRING (105.5810751470455 19.97727926430416, 105.5810615881511 19.9772465455945, 105.5810309584082 19.97718797388045, 105.581000594853 19.97714128256206, 105.580996524449 19.97713342452108, 105.5809614330625 19.97707957028659, 105.580938534722 19.977",7.675,212TH00008,"LINESTRING (105.5810751470455 19.97727926430416, 105.576588684819 19.97097977852778)",11.09,7.25529411765,7.675,3.39,1.93983634938,0.842494216482,10056,32.5388235294,34.17,2.03778288612,"(105.581075147, 19.9772792643)","(105.576588685, 19.9709797785)",88,267
57,88,0,"LINESTRING (105.5837988309994 19.96622644595395, 105.5837869580708 19.96623368829219, 105.5837271874462 19.96626288746466, 105.5836666983968 19.96628526470476, 105.5836034498985 19.96630133871972, 105.5835395672923 19.96631034658915, 105.5835388731068 19",6.31,212TH00008,"LINESTRING (105.5837988309994 19.96622644595395, 105.576588684819 19.97097977852778)",12.92,6.6741025641,6.31,3.41,2.27804015254,0.967194725506,10057,34.3441025641,35.95,2.00934704224,"(105.583798831, 19.966226446)","(105.576588685, 19.9709797785)",90,267
58,58,1,"LINESTRING (105.5682385697655 20.02511127333069, 105.5681897657531 20.02497583463898, 105.5681703799343 20.02489503757295, 105.5681634374337 20.02483292079196, 105.568163508167 20.02482756318379, 105.5681565656665 20.02476544640286, 105.5681416991313 20.",1.75,Input VPROMMS: 214YD00033 (54.29 pct); 213YD00011 (44.29 pct); 214YD00034 (1.43 pct);,"LINESTRING (105.5682385697655 20.02511127333069, 105.570369452638 20.01468088638659)",7.82,3.15571428571,1.75,1.0,2.42546195894,1.27509494451,10058,30.5133333333,31.08,1.19540151048,"(105.56823857, 20.0251112733)","(105.570369453, 20.0146808864)",52,269
59,71,0,"LINESTRING (105.5701048618416 20.0127325302654, 105.5701009108697 20.01274301850062, 105.5700713440067 20.01280307374032, 105.5700368410879 20.01285779937182, 105.570024150676 20.0128736936969, 105.5699999789357 20.01290997766767, 105.5699592156213 20.01",1.7,Input VPROMMS: 214YD00033 (53.85 pct); 213YD00011 (46.15 pct);,"LINESTRING (105.5701048618416 20.0127325302654, 105.570369452638 20.01468088638659)",6.3,3.50714285714,1.7,1.34,2.50646307431,0.260711785569,10059,28.3385714286,28.7,0.241158401651,"(105.570104862, 20.0127325303)","(105.570369453, 20.0146808864)",67,269
60,73,0,"LINESTRING (105.5774974851172 20.01386900292044, 105.5774487882622 20.01388036596519, 105.5773979581094 20.01388682919044, 105.5773329029893 20.01388794227508, 105.5772698567711 20.0138816410279, 105.5772326140436 20.01387327228558, 105.5772081556761 20.",3.115,214YD00019,"LINESTRING (105.5774974851172 20.01386900292044, 105.570369452638 20.01468088638659)",3.35,3.095,3.115,2.71,0.221246468898,0.798133596803,10060,24.2616666667,24.98,1.02061333691,"(105.577497485, 20.0138690029)","(105.570369453, 20.0146808864)",69,269
61,57,2,"LINESTRING (105.5682385697655 20.02511127333069, 105.568223612352 20.02512695125909, 105.5681834913863 20.02516152141049, 105.56812924038 20.0251991634455, 105.5680729036644 20.0252294993895, 105.5680152127933 20.02525224086742, 105.5679648802958 20.0252",6.85,Input VPROMMS: 213YD00012 (62.83 pct); transit fr (23.01 pct); 214YD00034 (13.27 pct); 214YD00064 (0.88 pct);,"LINESTRING (105.5682385697655 20.02511127333069, 105.5757542206403 20.04045534368222)",8.61,6.77774193548,6.85,4.91,0.99880832221,3.03506637683,10061,30.8316129032,29.67,6.71508435874,"(105.56823857, 20.0251112733)","(105.575754221, 20.0404553437)",52,87
62,86,1,"LINESTRING (105.5776806467747 20.0360887256926, 105.5776814345187 20.03609837771899, 105.5776806273373 20.03616654402754, 105.5776732068966 20.03623173624963, 105.5776591731964 20.03629395438505, 105.5776385262369 20.036353198434, 105.5776188575982 20.03",6.85040983607,214YD00064,"LINESTRING (105.5776806467747 20.0360887256926, 105.5757542206403 20.04045534368222)",,,,,,0.525753993537,10062,,,1.16328457894,"(105.577680647, 20.0360887257)","(105.575754221, 20.0404553437)",81,87
63,56,1,"LINESTRING (105.5682385697655 20.02511127333069, 105.5682767495343 20.02511522462738, 105.5683433659185 20.02511544929532, 105.5684606130342 20.02510317903167, 105.5685358909775 20.02508870864604, 105.5685907299916 20.02508258254169, 105.5686574541381 20",7.18,Input VPROMMS: 214YD00034 (50.0 pct); 213YD00012 (50.0 pct);,"LINESTRING (105.5682385697655 20.02511127333069, 105.5687141983563 20.02508743180133)",7.18,7.18,7.18,7.18,,0.0500758474088,10063,28.21,28.21,0.114924069803,"(105.56823857, 20.0251112733)","(105.568714198, 20.0250874318)",52,57
64,61,0,"LINESTRING (105.5686970837469 20.01012023208358, 105.5687478331895 20.0102467728012, 105.5687690012934 20.01032460287897, 105.5687778638274 20.01038653530027, 105.5687782553252 20.01040911681238, 105.5687839254999 20.01044874065469, 105.5687843169978 20.",4.09,214YD00023,"LINESTRING (105.5686970837469 20.01012023208358, 105.5701048618416 20.0127325302654)",4.38,4.02,4.09,3.59,0.399624824054,0.335180186786,10064,26.44,26.65,0.510311834382,"(105.568697084, 20.0101202321)","(105.570104862, 20.0127325303)",55,67
65,64,0,"LINESTRING (105.5833572790418 20.02339450504157, 105.5831553473135 20.02332573516087, 105.5831022047375 20.02330233362937, 105.5830804800948 20.0232955367974, 105.5830324305053 20.02328622146898, 105.583028339473 20.02328589621303, 105.5829709585722 20.0",7.715,Input VPROMMS: 214YD00034 (50.7 pct); 213YD00012 (42.25 pct); 214YD00052 (2.82 pct); return_1 (2.82 pct); 214YD00050 (1.41 pct);,"LINESTRING (105.5687141983563 20.02508743180133, 105.5833572790418 20.02339450504157)",11.79,7.98875,7.715,5.86,1.48343699768,1.57127770692,10065,32.81,33.14,3.81624073068,"(105.568714198, 20.0250874318)","(105.583357279, 20.023394505)",57,59
