,geometry,Node,pointgeo,x,y,osmid,IsCentroid
19,POINT (105.5587959771228 20.01871482338929),38,POINT (105.5587959771228 20.01871482338929),105.558795977,20.0187148234,19,0
20,POINT (105.5640718338777 20.01613032017848),45,POINT (105.5640718338777 20.01613032017848),105.564071834,20.0161303202,20,0
21,POINT (105.5597590442673 20.07219036053315),29,POINT (105.5597590442673 20.07219036053315),105.559759044,20.0721903605,21,0
22,POINT (105.5595666702474 20.06825535707615),39,POINT (105.5595666702474 20.06825535707615),105.55956667,20.0682553571,22,0
23,POINT (105.5686970837469 20.01012023208358),55,POINT (105.5686970837469 20.01012023208358),105.568697084,20.0101202321,23,0
24,POINT (105.569225721715 19.97643235742841),47,POINT (105.569225721715 19.97643235742841),105.569225722,19.9764323574,24,1
25,POINT (105.5833572790418 20.02339450504157),59,POINT (105.5833572790418 20.02339450504157),105.583357279,20.023394505,25,0
26,POINT (105.56103663067 20.01539104766655),43,POINT (105.56103663067 20.01539104766655),105.561036631,20.0153910477,26,0
27,POINT (105.5626694855515 20.07144354601598),44,POINT (105.5626694855515 20.07144354601598),105.562669486,20.071443546,27,0
28,POINT (105.5651265074083 20.06968899219897),51,POINT (105.5651265074083 20.06968899219897),105.565126507,20.0696889922,28,0
29,POINT (105.5773760140752 20.05554745672018),93,POINT (105.5773760140752 20.05554745672018),105.577376014,20.0555474567,29,1
30,POINT (105.5700433181527 19.97721570908631),50,POINT (105.5700433181527 19.97721570908631),105.570043318,19.9772157091,30,0
31,POINT (105.5810751470455 19.97727926430416),88,POINT (105.5810751470455 19.97727926430416),105.581075147,19.9772792643,31,0
32,POINT (105.5837988309994 19.96622644595395),90,POINT (105.5837988309994 19.96622644595395),105.583798831,19.966226446,32,0
33,POINT (105.5682385697655 20.02511127333069),52,POINT (105.5682385697655 20.02511127333069),105.56823857,20.0251112733,33,1
34,POINT (105.5701048618416 20.0127325302654),67,POINT (105.5701048618416 20.0127325302654),105.570104862,20.0127325303,34,0
35,POINT (105.5774974851172 20.01386900292044),69,POINT (105.5774974851172 20.01386900292044),105.577497485,20.0138690029,35,0
36,POINT (105.5776806467747 20.0360887256926),81,POINT (105.5776806467747 20.0360887256926),105.577680647,20.0360887257,36,0
37,POINT (105.5687141983563 20.02508743180133),57,POINT (105.5687141983563 20.02508743180133),105.568714198,20.0250874318,37,0
