,ID,Social_Cost_2,Isolated_Trips_2,CRIT_SCORE_2
0,0.0,142285002.073,284570.004146,0.683456120615
1,10.0,170320242.984,340640.485968,0.81812145227
2,5.0,40653745.1547,81307.4903094,0.195277439977
3,12.0,256440.786483,0.0,0.000985436399025
4,8.0,40760000.0,81520.0,0.195787827743
5,11.0,94070.7630168,0.0,0.000361489898826
6,9.0,128340547.002,256681.094005,0.61647489963
7,17.0,1720721.86968,0.0,0.0066122943477
8,16.0,4204329.89951,0.0,0.0161561652236
9,30.0,535203.262273,0.0,0.00205664934487
10,23.0,976586.128845,0.0,0.00375277088853
11,20.0,216558.033385,0.0,0.00083217717246
12,13.0,264657.904548,0.0,0.00101701268354
13,14.0,200027.445546,0.0,0.000768654348427
14,39.0,1848748.37097,0.0,0.00710426746997
15,38.0,3882140.85613,0.0,0.0149180750778
16,18.0,976586.128845,0.0,0.00375277088853
17,19.0,2535261.7937,0.0,0.0097423630883
18,22.0,54980039.1077,109960.078215,0.264092797501
19,21.0,458006.29758,0.0,0.00176000114025
20,24.0,0.0,0.0,0.0
21,26.0,96839401.8714,193678.803743,0.465161337889
22,25.0,2771738.15457,0.0,0.0106510813024
23,28.0,0.0,0.0,0.0
24,29.0,2771738.15457,0.0,0.0106510813024
25,34.0,0.0,0.0,0.0
26,33.0,535203.262273,0.0,0.00205664934487
27,35.0,749011.932528,0.0,0.00287826141753
28,36.0,873700.017252,0.0,0.00335740585823
29,37.0,127345952.007,254691.904015,0.611697431683
