,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
10,30.0714675336,30.0675506426,13.533203561,55.4251648024,12.7811209131,21.8471789533,27.6909375806,21.3384314864,9.63626663127,36.1237759538,44.981912694,11.0447393314,10000000041.2,28.9449818979,12.6163202479,20.3810206801,24.2672382272,18.1749445039,11.8408595706,10000000054.4,30.4894297931,49.7682394434,35.1643451105,37.9797903608,44.3312597424,38.3830823098,29.4046606116,44.3312597424,23.5281359528,1.23631693706,12.3319703045,20.4683243267,35.8054771439,10000000036.3
11,22.5549904376,22.5510735466,7.58564664081,61.6049342032,8.85608024915,14.3307018573,20.1744604846,9.79654244839,2.11978953527,42.3035453546,37.465435598,7.11969866749,10000000033.7,21.4285048019,1.07443120987,12.8645435841,16.7507611312,6.63305546592,18.0206289714,10000000046.9,22.9729526971,55.9480088442,27.6478680145,30.4633132648,36.8147826464,30.8666052138,35.5844300124,36.8147826464,14.3741734072,10.5197392295,4.8154932085,12.9518472307,28.2890000479,10000000028.8
12,3.33422493807,12.3295580202,16.5487087477,76.9523859393,23.321941902,5.25632894931,0.953694985072,26.2759390451,17.4672412713,57.6509970907,19.9955126097,21.5855603204,10000000014.5,6.38752828477,20.447294888,6.72248722254,16.6349323176,23.1124520626,33.3680807075,10000000027.7,17.1128799554,71.2954605802,8.42710251504,11.2425477653,19.3448596581,13.3966822256,50.9318817485,19.3448596581,16.2333743654,25.8671909656,14.7715375981,12.8360184171,9.0682345484,10000000009.6
13,18.7888933353,8.98380729709,13.5538784194,72.9645733283,20.2157193742,10.564604755,16.4083633823,10.4550053408,13.4794286604,53.6631844797,33.6993384957,18.4793377926,10000000024.3,17.6624076996,12.8501426144,12.0307630283,6.78382918769,7.29151835831,29.3802680965,10000000037.4,9.40568644764,67.3076479693,23.8817709123,26.6972161625,33.0486855441,27.1005081115,46.9440691375,33.0486855441,0.449599582984,21.8793783546,10.7837249871,2.98491528723,18.8272152858,10000000019.3
14,5.24098677571,14.2363198579,14.275681603,74.6793587946,21.0489147573,2.98330180456,2.86045682271,24.0029119004,15.1942141266,55.3779699459,20.1514319361,19.3125331756,10000000016.4,4.11450114002,18.1742677432,4.44946007779,14.3619051728,20.8394249179,31.0950535627,10000000029.6,19.019641793,69.0224334355,10.3338643527,13.1493096029,19.5007789845,13.552601552,48.6588546037,19.5007789845,13.9603472207,23.5941638208,12.4985104534,10.5629912724,10.974996386,10000000011.5
15,13.8492545356,0.0,20.5057337704,79.9164286793,27.1675747252,17.2196216624,11.3758630351,19.4388126379,20.4312840113,60.6150398306,31.3940771796,25.4311931435,10000000017.6,18.3508209979,21.8339499115,18.6857799356,11.9663945935,16.2753256554,36.3321234474,10000000030.8,5.2430181474,74.2595033202,19.8256670849,21.7575773628,30.6975104456,24.7952467955,53.8959244884,30.6975104456,8.5342077141,28.8312337055,17.735580338,9.93677063813,12.2026324604,10000000012.7
16,9.47593436389,16.2648143223,12.5440255821,72.9477027736,19.3172587364,1.25164578363,7.09540441089,19.7679643122,13.4625581057,53.646313925,24.3863795243,17.5808771547,10000000020.6,8.3494487282,16.4426117223,2.71780405686,10.1269575846,16.6044773297,29.3633975418,10000000033.8,16.6866934729,67.2907774146,14.5688119409,17.3842571911,23.7357265727,17.7875491401,46.9271985828,23.7357265727,9.72539963251,21.8625077999,10.7668544324,6.32804368418,15.2099439742,10000000015.7
17,15.9727502092,9.767998477,10.7377352934,70.1484302023,17.3995762482,7.74846162894,13.5922202562,13.2711484669,10.6632855343,50.8470413536,30.8831953696,15.6631946665,10000000025.0,14.8462645735,13.6433391509,9.21461990217,3.9676860616,10.1076614844,26.5641249704,10000000038.2,10.1898776276,64.4915048432,21.0656277862,23.8810730364,30.232542418,24.2843649855,44.1279260114,30.232542418,3.2285837872,19.0632352285,7.96758186105,0.168772161138,19.6114064657,10000000020.1
18,19.6028919485,11.9663945935,14.705421355,74.1161162639,21.3672623098,11.3786033683,17.2223619955,17.2388345285,14.6309715959,54.8147274152,34.513337109,19.6308807281,10000000027.2,18.4764063128,17.6110252125,12.8447616415,0.0,14.075347546,30.531811032,10000000040.4,12.3882737441,68.4591909048,24.6957695255,27.5112147758,33.8626841573,27.9145067248,48.095612073,33.8626841573,7.09713596008,23.0309212901,11.9352679227,3.79891390046,21.8098025823,10000000022.3
19,79.9203455703,79.9164286793,63.3820815977,0.0,62.6299989498,71.69605699,77.5398156173,71.1873095231,59.485144668,19.3013888487,94.8307907307,60.8936173681,10000000091.1,78.7938599346,62.4651982846,70.2298987168,74.1161162639,68.0238225406,43.5843052318,10000000104.3,80.3383078298,8.31962703907,85.0132231473,87.8286683975,94.1801377791,88.2319603465,26.0205041908,94.1801377791,73.3770139895,54.1888478654,62.1808483412,70.3172023634,85.6543551806,10000000086.2
