points,Junction
3,POINT (105.5806614737165 20.04349926379046)
3,POINT (105.5484118069716 20.02902956027938)
3,POINT (105.5540640106717 20.06325871505795)
3,POINT (105.5899217086084 19.97223678741432)
3,POINT (105.556282360014 20.00225345665674)
3,POINT (105.5482571824201 20.02856116734694)
3,POINT (105.5320607349481 20.0383126445937)
3,POINT (105.5757542206403 20.04045534368222)
3,POINT (105.5931378570127 19.98456957068258)
3,POINT (105.570369452638 20.01468088638659)
3,POINT (105.6770912402622 19.99510424324948)
3,POINT (105.6004670319494 19.98182825283602)
3,POINT (105.5627927372737 20.02064945206644)
3,POINT (105.6717749800281 19.99586930873931)
3,POINT (105.5954405035243 19.97464016851277)
3,POINT (105.5893456229443 20.01612568159467)
3,POINT (105.7380567080002 19.95161396494415)
3,POINT (105.5682385697655 20.02511127333069)
3,POINT (105.5640718338777 20.01613032017848)
3,POINT (105.5106901822895 20.05476536993432)
3,POINT (105.7383014028174 19.93787489586208)
3,POINT (105.591033801858 19.97468221823172)
3,POINT (105.5339725313789 20.06028333696498)
3,POINT (105.5725397185789 19.99113081321034)
3,POINT (105.710610888656 19.93548444142251)
3,POINT (105.6464403141446 19.9622901619251)
3,POINT (105.5595666702474 20.06825535707615)
3,POINT (105.7055647595686 19.9434122056796)
3,POINT (105.7381966779854 19.95015937904335)
3,POINT (105.5755897000857 20.00890682910028)
3,POINT (105.6578175822426 19.98484934610337)
3,POINT (105.5874759308991 19.99253820640676)
3,POINT (105.5685219114351 20.00523546698645)
3,POINT (105.6577426006772 19.98480500743594)
3,POINT (105.5413496101563 20.04409026267322)
3,POINT (105.5967348746271 20.02182289289)
3,POINT (105.580881547925 20.0434843282227)
3,POINT (105.5755229043631 20.0086529669222)
3,POINT (105.6528036088474 19.97039754662264)
3,POINT (105.6293803824398 20.00853192179477)
3,POINT (105.6488005361687 19.96459605685194)
3,POINT (105.5885765769135 19.99556906996835)
3,POINT (105.5474461348615 20.00670463805945)
3,POINT (105.6294391911164 20.00865586147824)
3,POINT (105.5810751470455 19.97727926430416)
3,POINT (105.6570238370257 19.99339036267754)
3,POINT (105.6085738214868 20.01467412003658)
3,POINT (105.5418258673257 20.03455365019457)
3,POINT (105.6712259323411 19.9924594391858)
3,POINT (105.6830369237005 19.98875255130693)
3,POINT (105.5928343206461 20.0225596472671)
3,POINT (105.5800992051747 20.06044857195995)
3,POINT (105.6051649490964 20.01979388364998)
3,POINT (105.6252997461098 19.95789822605382)
3,POINT (105.6085906337261 20.01463258191109)
3,POINT (105.6026778699551 20.015987048895)
3,POINT (105.6850552490623 19.98842922103003)
3,POINT (105.6854064832865 19.99805204036673)
3,POINT (105.5687141983563 20.02508743180133)
3,POINT (105.7143191470898 19.98951079392516)
3,POINT (105.5700433181527 19.97721570908631)
