,Typhoon - 100 year return period_mean,rawmean,normed
219,53.5878880483,53.5878880483,1
220,53.6050747246,53.6050747246,1
221,53.5955477927,53.5955477927,1
222,53.5938177317,53.5938177317,1
223,53.5920428006,53.5920428006,1
224,53.59085289,53.59085289,1
225,53.6060999104,53.6060999104,1
226,53.5938177317,53.5938177317,1
227,53.5948695093,53.5948695093,1
228,53.5948695093,53.5948695093,1
229,53.587209011,53.587209011,1
230,53.5989318635,53.5989318635,1
231,53.5989890467,53.5989890467,1
232,53.6000230622,53.6000230622,1
233,53.5858822781,53.5858822781,1
234,53.5762376995,53.5762376995,1
235,53.5909931056,53.5909931056,1
236,53.5858822781,53.5858822781,1
237,53.5896576689,53.5896576689,1
238,53.6053075061,53.6053075061,1
239,53.5934383787,53.5934383787,1
240,53.6002440229,53.6002440229,1
241,53.6071771748,53.6071771748,1
242,53.6080406979,53.6080406979,1
243,53.6086725722,53.6086725722,1
244,53.6094118537,53.6094118537,1
245,53.60963683,53.60963683,1
246,53.610753212,53.610753212,1
247,53.6066747962,53.6066747962,1
248,53.5867707684,53.5867707684,1
