,WildFire - 10 year return period_mean,rawmean,normed
120,68.0776519775,68.0776519775,0.713069001446
121,68.0776519775,68.0776519775,0.713069001446
122,68.0776519775,68.0776519775,0.713069001446
123,68.0776519775,68.0776519775,0.713069001446
124,68.0776519775,68.0776519775,0.713069001446
125,68.0776519775,68.0776519775,0.713069001446
126,68.0776519775,68.0776519775,0.713069001446
127,68.0776519775,68.0776519775,0.713069001446
128,68.0776519775,68.0776519775,0.713069001446
129,68.0776519775,68.0776519775,0.713069001446
130,68.0776519775,68.0776519775,0.713069001446
131,68.0776519775,68.0776519775,0.713069001446
132,68.0776519775,68.0776519775,0.713069001446
133,68.0776519775,68.0776519775,0.713069001446
134,68.0776519775,68.0776519775,0.713069001446
135,68.0776519775,68.0776519775,0.713069001446
136,68.0776519775,68.0776519775,0.713069001446
137,68.0776519775,68.0776519775,0.713069001446
